"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/31/2023","Apple","APPLE.COM/BILL 866-712-7753 CA","34.48","debit","Electronics & Software","Citi Double Cash® Card","",""
"1/31/2023","Trader Joe's","TRADER JOE'S #572 QPS","95.87","debit","Groceries","JetBlue","",""
"1/31/2023","ANNUAL FEE","ANNUAL FEE","40.00","debit","Fees & Charges","JetBlue","",""
"1/31/2023","NGRID49 NGRID49WEB~ Future Amount: 118.2 ~ Tran: ACHDW","NGRID49 NGRID49WEB~ Future Amount: 118.2 ~ Tran: ACHDW","118.20","debit","Utilities","Interest Checking","",""
"1/31/2023","PAYPAL INST XFER","PAYPAL INST XFER","4.00","debit","Transfer","Interest Checking","",""
"1/31/2023","NINTENDO IAT PAYPAL","NINTENDO IAT PAYPAL","32.83","debit","Entertainment","Interest Checking","",""
"1/31/2023","NGRID49 NGRID49WEB~ Future Amount: 37.37 ~ Tran: ACHDW","NGRID49 NGRID49WEB~ Future Amount: 37.37 ~ Tran: ACHDW","37.37","debit","Utilities","Interest Checking","",""
"1/31/2023","HEADSPACE INC IAT PAYPAL","HEADSPACE INC IAT PAYPAL","95.88","debit","Health & Fitness","Interest Checking","",""
"1/31/2023","GUSTO PAYROLL PAY 848414","GUSTO PAYROLL PAY 848414","3509.34","credit","Paycheck","Interest Checking","",""
"1/30/2023","CAPITALBNEWS.ORG NEW YORK NY","CAPITALBNEWS.ORG NEW YORK NY","10.00","debit","Education","Citi Double Cash® Card","",""
"1/30/2023","PETCO 1825    63518252","PETCO 1825    63518252","104.74","debit","Pet Food & Supplies","JetBlue","",""
"1/29/2023","SHAKE SHACK 1121","SHAKE SHACK 1121","21.33","debit","Fast Food","JetBlue","",""
"1/29/2023","STOCK CULINARY GOODS","STOCK CULINARY GOODS","18.00","debit","Fast Food","JetBlue","",""
"1/29/2023","SQ *LITTLE SISTER","SQ *LITTLE SISTER","68.69","debit","Restaurants","JetBlue","",""
"1/29/2023","MCDONALD'S F11729","MCDONALD'S F11729","9.30","debit","Fast Food","JetBlue","",""
"1/29/2023","THE PARLOUR PROVIDENCE","THE PARLOUR PROVIDENCE","27.00","debit","Restaurants","JetBlue","",""
"1/28/2023","AMTRAK MOBILE 2029063000 DC","AMTRAK MOBILE 2029063000 DC","29.00","debit","Travel","Citi Double Cash® Card","",""
"1/28/2023","UBER TRIP 8005928996 CA","UBER TRIP 8005928996 CA","12.90","debit","Ride Share","Citi Double Cash® Card","",""
"1/28/2023","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA","5.99","debit","Electronics & Software","Citi Double Cash® Card","",""
"1/27/2023","AMTRAK.COM 2029063000 DC","AMTRAK.COM 2029063000 DC","30.00","debit","Travel","Citi Double Cash® Card","",""
"1/27/2023","UBER TRIP 8005928996 CA","UBER TRIP 8005928996 CA","7.98","debit","Ride Share","Citi Double Cash® Card","",""
"1/27/2023","CVS/PHARMACY #10174 BOSTON MA","CVS/PHARMACY #10174 BOSTON MA","2.09","debit","Pharmacy","Citi Double Cash® Card","",""
"1/27/2023","MBTA HARVARD CAMBRIDGE MA","MBTA HARVARD CAMBRIDGE MA","2.40","debit","Public Transportation","Citi Double Cash® Card","",""
"1/27/2023","Liberty Mutual","LIBERTY MUTUAL PAYMENT~ Future Amount: 86.83 ~ Tran: ACHDW","86.83","debit","Financial","Interest Checking","",""
"1/27/2023","PayPal","GEEK HUB PTY LTD IAT PAYPAL","12.00","debit","Shopping","Interest Checking","",""
"1/26/2023","OPEN CIRCLE INC","OPEN CIRCLE INC","75.00","debit","Gas & Fuel","JetBlue","",""
"1/26/2023","EVERYPLATE 973-210-4915 NY","EVERYPLATE 973-210-4915 NY","62.89","debit","Groceries","Citi Double Cash® Card","",""
"1/26/2023","Cornell Sun Membership","CORNELL SUN MEMBERSHIP ITHACA NY","12.00","debit","Uncategorized","Citi Double Cash® Card","",""
"1/25/2023","SQ *OAK BAKESHOP","SQ *OAK BAKESHOP","33.32","debit","Food & Dining","JetBlue","",""
"1/25/2023","APPLE.COM/BILL 866-712-7753 CA","APPLE.COM/BILL 866-712-7753 CA","27.80","debit","Electronics & Software","Citi Double Cash® Card","",""
"1/24/2023","CVS/PHARMACY #00729","CVS/PHARMACY #00729","16.68","debit","Pharmacy","JetBlue","",""
"1/24/2023","VERIZON PAYMENTREC","VERIZON PAYMENTREC","56.04","debit","Home Phone","Interest Checking","",""
